Product_Code,Brand,Category,Product_Name,Description,Long_Description,Reseller_Buy,RRP,Images,Stock,Warranty,Average_Lead_Time
MA1-NCADV-R,Cradlepoint,Software,MA1-NCADV-R,Renewal NetCloud Advanced for Mobile Routers (Enterprise) 1-yr,https://www.snappernet.co.nz/product/16734/MA1-NCADV-R,188,269,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogo_i1q23sjd.r11.jpg,0,,0
TEAMS-UH38-M,Yealink,VoIP (Voice over IP),TEAMS-UH38-M,USB (wired) and Bluetooth (wireless) Mono Headset w' Busy Light,https://www.snappernet.co.nz/product/54808/TEAMS-UH38-M,118.25,169,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/teams-uh38-m_r5kgleov.eyr.jpg,0,24,0
FIP15GPLUS,FlyingVoice,VoIP (Voice over IP),FIP15GPLUS,Touch Screen IP Phone Wi-Fi 64 DSS Keys Dual GigE PoE,https://www.snappernet.co.nz/product/56172/FIP15GPLUS,175.75,251,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/fip15gplus_oqk10vcv.cyy.jpg,2,12,0
5399-823-389,Jabra,VoIP (Voice over IP),5399-823-389,Evolve 30 II Stereo Wired (3.5mm and USB-C) Headset MS,,113.64,162,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/5399-823-389_sk5ogwos.mg1.jpg,1,24,0
CPW90-BT-PACKAGE,Yealink,VoIP (Voice over IP),CPW90-BT-PACKAGE,2 x CPW90-BT Wireless Microphones and BT42 Bluetooth Dongle,,274.67,392,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cpw90-package_ikpxmulo.mxx.jpg,2,12,0
YP-ULT-192SC-1YR,Yeastar,VoIP (Voice over IP),YP-ULT-192SC-1YR,PBX with Ultimate Plan features (annual) 192 Simultaneous Calls,,9038.33,12912,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/p-series_alqxvjff.ktm.jpg,0,,0
GS116LP-100AJS,NETGEAR,Ethernet Switches,GS116LP-100AJS,16-Port Gigabit Unmanaged PoE+ Switch Fanless Rackmount Wallmount,https://www.snappernet.co.nz/product/16430/GS116LP-100AJS,280.94,401,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/116-100_3utgaqzy.j5j.jpg,0,24,0
QSW-M408-4C,QNAP,Ethernet Switches,QSW-M408-4C,12-port 10GbE Managed Switch 4x 10GbE SFP+/RJ45 8x 1GbE (RJ45),https://www.snappernet.co.nz/product/30345/QSW-M408-4C,963.98,1377,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/qsw-m408-4c_qe2xv14y.fuu.png,2,12,0
C28CTCHAU,SOPHOS,Ethernet Switches,C28CTCHAU,CS210-8FP PoE Managed Ethernet Switch 8x 100/1000Base-T/2500Base-T ports 4x SFP+ 10G Ports,https://www.snappernet.co.nz/product/53271/C28CTCHAU,1359.1,1942,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cs210-8fp_u00tmz3m.xxw.jpg,1,12,0
GSM4212P-100AJS,NETGEAR,Ethernet Switches,GSM4212P-100AJS,AV Line Managed PoE+ Switch 8x1G PoE+ 2x1G 2xSFP (M4250-10G2F-PoE+),,1163.34,1662,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/gsm4212p_oywaig5m.jdt.jpg,0,60,5
ECS4150-28T,Edgecore,Ethernet Switches,ECS4150-28T,24-Port 10/100/1000 Mbps (Gigabit) Managed Switch with 4x 10GigE SFP+,,751.2,1073,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ecs4150-28t_dq2pjkoc.5u2.jpg,1,60,0
DACS30025R,DrayTek,Software,DACS30025R,VigorACS 3 - One year license key for 25 CPE nodes (Renewal),https://www.snappernet.co.nz/product/48687/DACS30025R,355.738,508,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/draytek-logo_xaylj2sx.1el.png,-1,,0
XSVZTCHSF,SOPHOS,Fibre-optic,XSVZTCHSF,SFP VDSL module for all Sophos SG/XG/XGS appliances,https://www.snappernet.co.nz/product/54474/XSVZTCHSF,335.3,479,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/xsgztchsf_25fjbmbr.ill.png,0,12,14
HS-M2SSD-01,QNAP,Spare Parts,HS-M2SSD-01,Heatsink for M.2 SSD module14x14MM Black self adhesive 8 units,https://www.snappernet.co.nz/product/1498/HS-M2SSD-01,25.06,36,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/HS-M2SSD-01_636540249880301172.png,0,12,0
BBU-A01-2200MAH,QNAP,Power,BBU-A01-2200MAH,Battery Backup Unit for QNAP ES series NAS,https://www.snappernet.co.nz/product/15085/BBU-A01-2200MAH,228.9,327,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/BBU-A01-2200MAH_636844499115429063.jpg,0,12,14
SIP-T31G,Yealink,VoIP (Voice over IP),SIP-T31G,IP Phone Dual Gigabit Ethernet 132x64 backlit LCD Screen PoE,https://www.snappernet.co.nz/product/30500/SIP-T31G,125.67,180,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/sip-t31g_jncxud1r.vla.png,0,12,0
YP-ENT-48SC-1YR,Yeastar,VoIP (Voice over IP),YP-ENT-48SC-1YR,PBX with Enterprise Plan features (annual) 48 Simultaneous Calls,,1908.33,2726,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/p-series_vu1rirjx.xsd.jpg,0,,0
PW48V-12V85W,MikroTik,Power,PW48V-12V85W,MikroTik ±48V Open Frame Power Supply with 12V 7A Output,,89.78,128,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/pw48v-12v85w_fpy42g01.1uv.jpg,1,,0
BF01-30005GB-GP,Cradlepoint,3G 4G LTE 5G,BF01-30005GB-GP,E3000 5G router WiFi 1-yr NetCloud Enterprise Branch Essentials Plan,https://www.snappernet.co.nz/product/49804/BF01-30005GB-GP,3198.67,4570,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/5g-cutaway_gfbji2c2.0vg.jpg,0,12,14
TRM250,Teltonika,3G 4G LTE 5G,TRM250,Rugged NB-IoT LTE cellular modem LPWAN,https://www.snappernet.co.nz/product/50991/TRM250,79.11,113,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/trm250_tsxprlqv.mmh.png,1,24,0
RBWAPGR-5HACD2HND_R11E-LTE6,MikroTik,3G 4G LTE 5G,RBWAPGR-5HACD2HND_R11E-LTE6,wAP ac LTE kit with R11e-LTE6 modem,https://www.snappernet.co.nz/product/54935/RBWAPGR-5HACD2HND_R11E-LTE6,353.6,505,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/rbwapgr-5hacd2hndr11_xku1xmrp.u1m.jpg,2,12,0
BE05-20055GB-GP,Cradlepoint,3G 4G LTE 5G,BE05-20055GB-GP,5G Wideband Outdoor Router (W2005) with 5-yr NetCloud Essentials Plan,,2936.25,4195,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/w2005_eluf2o1g.fc0.jpg,0,60,14
MB01-2155-5GB-GA,Cradlepoint,3G 4G LTE 5G,MB01-2155-5GB-GA,5G Router for Vehicle/IOT integrated antennas 1yr NetCloud Essential,,2749.98,3929,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/r2100-router_lgtb3coj.ggg.jpg,0,12,10
B126004,Robustel,3G 4G LTE 5G,B126004,LTE Router with built-in battery FXS Port Voice over LTE WiFi ( EV8100 ),,1076.38,1538,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ev8100-2_s2g2weaq.wi5.jpg,0,24,14
GS305EPP-100AUS,NETGEAR,Ethernet Switches,GS305EPP-100AUS,5-Port Gigabit Ethernet Smart Switch 4 x PoE+ ports 120W Total PoE,,182.35,261,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/gs305epp-100aus_eojfs4lr.uku.jpg,-1,60,0
QSW-M1204-4C,QNAP,Ethernet Switches,QSW-M1204-4C,12-port 10GbE Managed Switch 8-port SFP+4-port 10GbE SFP+/RJ45 Combo,,1244.27,1778,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/qsw-m1204-4c_ewcx21d3.uhu.jpg,0,24,14
BF01-NCESS-R,Cradlepoint,Software,BF01-NCESS-R,Renewal NetCloud Essentials for Enterprise Branch Routers 1-yr,https://www.snappernet.co.nz/product/27175/BF01-NCESS-R,388,554,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogo_uyms310q.1a3.png,0,,0
UF-GP-B+,Ubiquiti,Fibre-optic,UF-GP-B+,UFiber GPON OLT Class B+ SFP Module,https://www.snappernet.co.nz/product/10888/UF-GP-B+,136,194,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uf-gp-bplus_hbtuvt3n.dwx.jpg,0,12,0
RAM-16GDR4T0-SO-2666,QNAP,Spare Parts,RAM-16GDR4T0-SO-2666,16GB DDR4-2666 SO-DIMM 260 pin T0 version,https://www.snappernet.co.nz/product/15119/RAM-16GDR4T0-SO-2666,508.77,727,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ram-16gdr4t0-so-2666_ornbd453.dyi.jpg,0,12,14
TA400,Yeastar,VoIP (Voice over IP),TA400,4-Port ATA FXS VoIP Gateway,https://www.snappernet.co.nz/product/349/TA400,200,286,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/TA400_636053078740414784.png,3,24,0
6399-829-209,Jabra,VoIP (Voice over IP),6399-829-209,Evolve 40 professional USB (Wired) Stereo Headset USB-A UC,https://www.snappernet.co.nz/product/13096/6399-829-209,148.62,212,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/6399-823-109_dxuubseh.vdi.jpg,0,24,0
W80B,Yealink,VoIP (Voice over IP),W80B,W80 IP Multi-Cell DECT System Base,https://www.snappernet.co.nz/product/17846/W80B,410.32,586,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/w80b_gz35t4mc.e40.jpg,2,12,0
UVC20,Yealink,VoIP (Voice over IP),UVC20,USB plug-and-play 1080P camera for video conferencing,https://www.snappernet.co.nz/product/43423/UVC20,141.04,201,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uvc20_kb1253fu.jke.jpg,2,12,0
P-CLOUD-TURNKEY-HA,Yeastar,VoIP (Voice over IP),P-CLOUD-TURNKEY-HA,High Availability service for P-Series Cloud Edition PBX,https://www.snappernet.co.nz/product/52020/P-CLOUD-TURNKEY-HA,475.56,679,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cloud-phone-system-2_gxesthuo.nvc.png,0,,0
GWN7001,Grandstream,Routers,GWN7001,Gigabit Ethernet Router 6x GigE Ports,,85.33,122,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/gwn7001_02iw3nec.n3m.jpg,2,36,0
P09MIEC13,Generic,Power,P09MIEC13,Power Cable 3-Pin to C13 Female Connector 90cm,https://www.snappernet.co.nz/product/18859/P09MIEC13,2,3,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/p18miec13_mf20vjtr.rxa.jpg,47,12,0
ST2000VN003,Seagate,Data Storage & NAS,ST2000VN003,IronWolf 2TB Hard Disk Drive for NAS,,152.63,218,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/seagateironwolflogo_aepnsed1.bu1.jpg,1,36,0
TRB140,Teltonika,3G 4G LTE 5G,TRB140,Industrial 4G (LTE) to Ethernet Gateway,https://www.snappernet.co.nz/product/50984/TRB140,194.67,278,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/trb140_2umc5cjx.1yp.png,10,24,0
GWN7816P,Grandstream,Ethernet Switches,GWN7816P,54-Port Layer3 Managed PoE++ Ethernet Switch 48 x GigE 6 x SFP+,,1082.46,1546,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/gwn7816_segozbr0.q2d.jpg,1,36,0
K2-LCS,Yeastar,Software,K2-LCS,Linkus Cloud Service (LCS) for K2 Series 1 year license,https://www.snappernet.co.nz/product/30260/K2-LCS,3322.22,4746,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lcs-feature-img_4u51o0rq.rfz.png,0,,0
DACS30100,DrayTek,Software,DACS30100,VigorACS 3 - One year license key for 100 CPE nodes,https://www.snappernet.co.nz/product/48683/DACS30100,1219.798,1743,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/draytek-logo_3m4oeysx.1bo.png,0,,0
XS+DA0003,MikroTik,Fibre-optic,XS+DA0003,3m Direct Attach Cable for SFP 1G SFP+ 10G 25G SFP28,https://www.snappernet.co.nz/product/54771/XS+DA0003,68.44,98,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/xs-da0003_jsv55is5.aay.jpg,4,12,0
SP-2BAY-ADAPTOR-90W,QNAP,Spare Parts,SP-2BAY-ADAPTOR-90W,90W external power adpator for QNAP 2/4-bay NAS,https://www.snappernet.co.nz/product/1507/SP-2BAY-ADAPTOR-90W,112.78,161,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/SP2BAYADAPTOR90W_636249890600920703.jpg,0,12,0
UMA-D,Ubiquiti,Antenna,UMA-D,UniFi Mesh Dual Band Dual Polarity 802.11ac Directional Antenna,https://www.snappernet.co.nz/product/12397/UMA-D,154.94,221,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uma_636630359658884607.JPG,-1,12,0
R11E-LTE,MikroTik,3G 4G LTE 5G,R11E-LTE,2G/3G/4G/LTE miniPCI-e modem card,https://www.snappernet.co.nz/product/11225/R11E-LTE,116.44,166,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/R11e-LTE_636682127616545703.png,1,12,0
LTU-LITE,Ubiquiti,Wireless,LTU-LITE,5GHz PtMP LTU Client for LTU-Rocket System,https://www.snappernet.co.nz/product/25112/LTU-LITE,168.89,241,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lte-litefrontangle_z3bhdmx2.jx0.png,4,12,0
AP420A00ZZPCNP,SOPHOS,Wireless,AP420A00ZZPCNP,AP6 420 Indoor Access Point 2x2:2 dual radio 1 x GE LAN,,707.33,1010,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ap6-420-front_bac5okxo.sxc.jpg,2,12,0
BB3-NCESS-R,Cradlepoint,Software,BB3-NCESS-R,Renewal NetCloud Essentials for IoT LTE Routers 3-yr,https://www.snappernet.co.nz/product/16710/BB3-NCESS-R,288,411,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogoa_ctdtaufi.j1z.jpg,0,,0
8300-119,Jabra,VoIP (Voice over IP),8300-119,PanaCast 20 Video Conferencing Camera 13 Megapixel 30 fps USB 3,https://www.snappernet.co.nz/product/56399/8300-119,296.81,424,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/8300-119_gx2rjxvn.xp3.jpg,5,12,0
A20-010,Yealink,VoIP (Voice over IP),A20-010,Meeting Bar incl VCR11 remote TEAMS/Zoom,https://www.snappernet.co.nz/product/56504/A20-010,2186.6,3124,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/yealink-a20-010_desb3akx.cji.jpg,0,24,7
170717-000,Cradlepoint,Power,170717-000,Power Supply for Cradlepoint IBR1700 IBR900 IBR950 R920,https://www.snappernet.co.nz/product/15222/170717-000,33.32,48,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cor-ibr900-ibr950-ib_eb5oftti.512.png,2,12,0
EP-24V-72W,Ubiquiti,Power,EP-24V-72W,Managed 24V DC power supply with battery backup PoE Ethernet,https://www.snappernet.co.nz/product/18856/EP-24V-72W,303.11,433,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ep-24v_ok5luaot.kmf.jpg,0,12,0
MA5-1700600M-PWA,Cradlepoint,3G 4G LTE 5G,MA5-1700600M-PWA,IBR1700 Mobile Router with 5 year NetCloud Essentials,https://www.snappernet.co.nz/product/14279/MA5-1700600M-PWA,3050.67,4358,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ibr1700_636776261272238203.png,0,60,14
MB03-19005GB-GA,Cradlepoint,3G 4G LTE 5G,MB03-19005GB-GA,R1900 5G router with WiFi 3-yr NetCloud Mobile Performance Essentials,,3123.75,4463,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepoint-r1900_jvvafqpl.k40.jpg,0,36,14
C14B2CEAA,SOPHOS,Software,C14B2CEAA,Support and Services for CS110-48P Ethernet Switch 2 years,https://www.snappernet.co.nz/product/54416/C14B2CEAA,440.47,629,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/sophos-logo_3mowgpow.ogx.png,0,,0
CAB-SAS10M-8644-8088,QNAP,Spare Parts,CAB-SAS10M-8644-8088,1m External Mini SAS Cable,https://www.snappernet.co.nz/product/1503/CAB-SAS10M-8644-8088,185.46,265,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/CABSAS10M86448088_636341490646153984.jpg,0,6,0
ANT-116,Ubiquiti,Antenna,ANT-116,AirMax 5GHz 16dBi 120 degree Sector Antenna (AM-5G16-120),https://www.snappernet.co.nz/product/9704/ANT-116,136.26,195,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ANT-116_636053076333648843.jpg,1,12,0
ANT-40,Ubiquiti,Antenna,ANT-40,airMAX 3GHz 12dBi Dual Polarised Omni Antenna,https://www.snappernet.co.nz/product/2599/ANT-40,294,420,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ant-40_636113561028144844.jpg,0,12,0
XGSETCPAA,SOPHOS,UTM/Firewall/VPN,XGSETCPAA,Software/Virtual Firewall Base License Perpetual (8 CORE 16GB RAM),https://www.snappernet.co.nz/product/12601/XGSETCPAA,5864.67,8378,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/sophos_logo_636200615047609219.png,0,,0
TA410,Yeastar,VoIP (Voice over IP),TA410,4-Port FXO VoIP Gateway,https://www.snappernet.co.nz/product/350/TA410,265,379,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/TA410_636085819918007344.png,1,24,0
SIP-T33G,Yealink,VoIP (Voice over IP),SIP-T33G,IP Phone Dual Gigabit Ethernet 320 x 240 backlit Colour LCD PoE,https://www.snappernet.co.nz/product/30499/SIP-T33G,153.87,220,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/sip-t33g_a22aajnz.2mp.png,20,12,0
YP-ULT-96SC-1YR,Yeastar,VoIP (Voice over IP),YP-ULT-96SC-1YR,PBX with Ultimate Plan features (annual) 96 Simultaneous Calls,,4643.33,6633,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/p-series_2uhkkkqk.t4n.jpg,0,,0
FW7580AU122,Generic,Power,FW7580AU122,12V 2A DC Power Adapter,https://www.snappernet.co.nz/product/42419/FW7580AU122,18,26,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/12vb4_xocbqnlh.4qs.jpg,0,6,0
12V3APSU4-PIN,Generic,Power,12V3APSU4-PIN,12V 3A wall plug power pack Locking 4-pin connector,https://www.snappernet.co.nz/product/52057/12V3APSU4-PIN,15,21,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/170584-0007_3dh0yotj.khv.jpg,7,12,0
QM2-2P-384A,QNAP,Data Storage & NAS,QM2-2P-384A,Dual M.2 PCIe SSD expansion card for NAS PC or Server,https://www.snappernet.co.nz/product/56286/QM2-2P-384A,340.85,487,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/qm2-2p-384atop2bbrac_0c2odexn.szm.jpg,0,12,0
GSM4212PX-100AJS,NETGEAR,Ethernet Switches,GSM4212PX-100AJS,AV Line Managed Switch 8x1G PoE+ 2xSFP+ (M4250-10G2XF-PoE+),https://www.snappernet.co.nz/product/49723/GSM4212PX-100AJS,1868.99,2670,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/m4250-10g2xf-poeplus_4advasen.mvh.jpg,0,60,14
BB3-NCADV,Cradlepoint,Software,BB3-NCADV,NetCloud Advanced for Branch LTE Adapters 3-yr,https://www.snappernet.co.nz/product/11170/BB3-NCADV,288,411,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cradlepointlogo_h0siz4va.cdy.png,0,,0
DACS30200,DrayTek,Software,DACS30200,VigorACS 3 - One year license key for 200 CPE nodes,https://www.snappernet.co.nz/product/48684/DACS30200,2033.03,2904,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/draytek-logo_bplx12fu.xji.png,0,,0
DACS30500R,DrayTek,Software,DACS30500R,VigorACS 3 - One year license key for 500 CPE nodes (Renewal),https://www.snappernet.co.nz/product/48691/DACS30500R,3049.57,4357,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/draytek-logo_zaieceqi.wex.png,0,,0
SFP-9231,LevelOne,Fibre-optic,SFP-9231,Gigabit Singlemode Bi-Di SFP Transceiver 10km TX 1550nm / RX 1310nm,https://www.snappernet.co.nz/product/1198/SFP-9231,45.12,64,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/SFP-9231_636053078432924085.jpg,0,24,0
ESB32X-3LCD10,ETU-LINK,Fibre-optic,ESB32X-3LCD10,10Gbps Bi-Directional Single-mode SFP+ Module 10km Range 1130/1270,https://www.snappernet.co.nz/product/20972/ESB32X-3LCD10,42.42,61,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/10gbd10km1_5ytf24wu.cso.jpg,-2,36,0
XSAZTCHF4,SOPHOS,Fibre-optic,XSAZTCHF4,FleXi Port Module - 4 port 10GbE SFP+,https://www.snappernet.co.nz/product/52053/XSAZTCHF4,1196.8,1710,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/xsaztchf4_41fjlkxv.qsk.jpg,0,12,14
RAM-16GDR4A0-UD-2400,QNAP,Spare Parts,RAM-16GDR4A0-UD-2400,16GB DDR4 RAM 2400 MHz UDIMM,https://www.snappernet.co.nz/product/10877/RAM-16GDR4A0-UD-2400,488.73,698,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/RAM-16GDR4A0-UD-2400_636453147616705027.jpg,0,12,14
E003115,Robustel,Antenna,E003115,LoRa Antenna (Supports 868MHZ & 915MHz),https://www.snappernet.co.nz/product/12438/E003115,9.45,14,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lora-ant_636676950110796795.jpg,1,,0
AP-5AC-90-HD,Ubiquiti,Antenna,AP-5AC-90-HD,5GHz ac airPrism 3 x 30 degree HD Sector Antenna,https://www.snappernet.co.nz/product/2601/AP-5AC-90-HD,624,891,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ap-5ac-90-hd-front_orozjvfx.0xi.jpg,0,12,0
UAP-AC-HD-5,Ubiquiti,Wireless,UAP-AC-HD-5,5-pack of UAP-AC-HD 802.11ac 4x4 MU-MIMO WAVE 2 Access Points,https://www.snappernet.co.nz/product/5183/UAP-AC-HD-5,2840.22,4057,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uapachd5_636273308657779453.jpg,0,12,3
WAX610Y-100EUS,NETGEAR,Wireless,WAX610Y-100EUS,Wi-Fi 6 Outdoor Access Point AX1800 Dual Band Insight Managed,https://www.snappernet.co.nz/product/38257/WAX610Y-100EUS,311.5,445,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/wax610ywshadowtopfro_mo4vws32.nmc.png,1,60,0
SSD-M2080-64GB-A01,QNAP,Data Storage & NAS,SSD-M2080-64GB-A01,M.2 2280 SATA 6Gb/s SSD 64GB Internal SSD Module,https://www.snappernet.co.nz/product/15157/SSD-M2080-64GB-A01,243.11,347,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/-2080-64-01_vi4hzm0q.xwu.jpg,1,12,14
USP-RPS,Ubiquiti,Power,USP-RPS,UniFi Redundant Power System,https://www.snappernet.co.nz/product/30372/USP-RPS,790.22,1129,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/usp-rps_ftpckdzj.yhi.jpg,0,12,0
TVS-H1288X-W1250-16G,QNAP,Data Storage & NAS,TVS-H1288X-W1250-16G,12-Bay NAS (8x 3.5in HDD + 4x 2.5in SSD) Intel Xeon W-1250 6 Core,https://www.snappernet.co.nz/product/42387/TVS-H1288X-W1250-16G,5100.31,7286,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/tvs-h1288xright20wit_x2cragjn.mls.png,0,36,14
ST6000VN006,Seagate,Data Storage & NAS,ST6000VN006,IronWolf 6TB Hard Disk Drive for NAS,,289.47,414,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/seagateironwolflogo_ffbn0czm.i32.jpg,1,36,0
B044714,Robustel,3G 4G LTE 5G,B044714,4G Router LTE-A Cat-6 4x Ethernet 802.11ac WiFi GPS BT 5.0,https://www.snappernet.co.nz/product/30304/B044714,1047.48,1496,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/r2100-router_kbkn5r40.igy.png,0,24,14
